"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 12:09:13 UTC 2024","Tue Jul 16 12:09:18 UTC 2024","5239","firefox","specs/registration.spec.js","Register test cases","","","Sign up with empty Login field",""
"passed","Tue Jul 16 12:08:46 UTC 2024","Tue Jul 16 12:08:51 UTC 2024","5149","chromium","specs/registration.spec.js","Register test cases","","","Sign up with empty Password Confirmation field",""
"passed","Tue Jul 16 12:10:21 UTC 2024","Tue Jul 16 12:10:28 UTC 2024","6279","webkit","specs/registration.spec.js","Register test cases","","","Sign up with valid data",""
"passed","Tue Jul 16 12:09:18 UTC 2024","Tue Jul 16 12:09:23 UTC 2024","4569","firefox","specs/registration.spec.js","Register test cases","","","Sign up with empty Password field",""
"passed","Tue Jul 16 12:10:04 UTC 2024","Tue Jul 16 12:10:10 UTC 2024","5976","webkit","specs/registration.spec.js","Register test cases","","","Sign up with empty Password field",""
"passed","Tue Jul 16 12:08:36 UTC 2024","Tue Jul 16 12:08:41 UTC 2024","4396","chromium","specs/registration.spec.js","Register test cases","","","Sign up with empty Login field",""
"passed","Tue Jul 16 12:08:26 UTC 2024","Tue Jul 16 12:08:33 UTC 2024","7096","chromium","specs/login.spec.js","Login test cases","","","Login with valid data",""
"passed","Tue Jul 16 12:10:16 UTC 2024","Tue Jul 16 12:10:21 UTC 2024","5348","webkit","specs/registration.spec.js","Register test cases","","","Sign up with empty Email field",""
"passed","Tue Jul 16 12:09:36 UTC 2024","Tue Jul 16 12:09:43 UTC 2024","6409","firefox","specs/registration.spec.js","Register test cases","","","Sign up with valid data",""
"passed","Tue Jul 16 12:09:58 UTC 2024","Tue Jul 16 12:10:04 UTC 2024","5128","webkit","specs/registration.spec.js","Register test cases","","","Sign up with empty Login field",""
"passed","Tue Jul 16 12:10:10 UTC 2024","Tue Jul 16 12:10:16 UTC 2024","6334","webkit","specs/registration.spec.js","Register test cases","","","Sign up with empty Password Confirmation field",""
"passed","Tue Jul 16 12:08:41 UTC 2024","Tue Jul 16 12:08:46 UTC 2024","5341","chromium","specs/registration.spec.js","Register test cases","","","Sign up with empty Password field",""
"passed","Tue Jul 16 12:09:04 UTC 2024","Tue Jul 16 12:09:11 UTC 2024","6867","firefox","specs/login.spec.js","Login test cases","","","Login with valid data",""
"passed","Tue Jul 16 12:09:29 UTC 2024","Tue Jul 16 12:09:36 UTC 2024","7087","firefox","specs/registration.spec.js","Register test cases","","","Sign up with empty Email field",""
"passed","Tue Jul 16 12:08:58 UTC 2024","Tue Jul 16 12:09:04 UTC 2024","6190","chromium","specs/registration.spec.js","Register test cases","","","Sign up with valid data",""
"passed","Tue Jul 16 12:09:23 UTC 2024","Tue Jul 16 12:09:29 UTC 2024","6767","firefox","specs/registration.spec.js","Register test cases","","","Sign up with empty Password Confirmation field",""
"passed","Tue Jul 16 12:09:44 UTC 2024","Tue Jul 16 12:09:56 UTC 2024","12437","webkit","specs/login.spec.js","Login test cases","","","Login with valid data",""
"passed","Tue Jul 16 12:08:51 UTC 2024","Tue Jul 16 12:08:58 UTC 2024","6373","chromium","specs/registration.spec.js","Register test cases","","","Sign up with empty Email field",""
